Loom,LPLC2,LC4,LC11,WBA,WBA(LPLC2>TNT),WBA(LC4>TNT),WBA(LC11>TNT),WBA(LPLC2xCS),WBA(LC4xCS),WBA(LC11xCS)
0%,0.39557752,0.336616734,0.371740812,19.20897143,20.28347715,22.28948841,19.43688147,29.08853293,32.05789047,27.02282082
10%,0.350365765,0.303093778,0.47063031,17.35042364,10.96534734,18.81555392,21.43584327,26.37275606,27.92470796,27.52387854
20%,0.295684819,0.209063672,-0.023071604,15.40977217,4.974004193,11.98147416,15.59319513,21.36696242,24.27096497,24.03548909
30%,0.254136693,0.140586685,0.398423431,10.07562096,2.946954579,5.309050208,7.7642095,14.83367107,16.98626588,14.7057127
40%,0.147137249,0.072708015,-0.026403932,4.157352599,2.266459178,3.387769451,3.698326699,5.832415424,6.437235418,4.94017176
50%,0.071393411,0.049818203,0.34186434,-0.184308017,-0.239206323,-0.332793732,-0.788386345,0.441253768,0.132014201,0.4205826
60%,0.014013174,0.019966249,0.25802508,3.002713844,1.704732477,2.492389311,1.92214558,2.788684185,3.781220194,2.835984891
70%,-4.00E-05,-0.002765374,0.269804237,0.575923395,0.554346314,0.354573819,0.373019673,0.318462184,0.709236387,0.877286733
100%,-0.011576522,0.0045846,0.234812825,-0.313301329,-0.556057285,-0.290220216,0.236541923,0.214830281,0.650880324,0.590306394
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,